CODIGO,poblacion_estudio,nbs,umbral,moderada,indigente,marginal,nbs_porcentaje,umbral_porcentaje,moderada_porcentaje,marginal_porcentaje,indigente_porcentaje,pobre,pobre_porcentaje,no_pobre,no_pobre_porcentaje,año,DEPARTAMENTO,PROVINCIA,MUNICIPIO
010701,14857,2326,3249,6805,2407,70,15.65592,21.86848,45.803325,0.471158,16.201117,9282,62.47560072693006,5575,37.52439927306994,2012,CHUQUISACA,NOR CINTI,CAMARGO
010701,13706,1186,2735,5464,4214,107,8.653144608200789,19.95476433678681,39.865752225302785,0.7806799941631402,30.745658835546475,9785,71.3920910550124,3921,28.6079089449876,2001,CHUQUISACA,NOR CINTI,CAMARGO
010702,31349,160,934,7839,16124,6292,0.5103831063191808,2.979361383138218,25.005582315225368,20.070815656001788,51.433857539315454,30255,96.51025551054259,1094,3.489744489457408,2001,CHUQUISACA,NOR CINTI,SAN LUCAS
010702,31611,1228,3548,16382,10171,282,3.884724,11.223941,51.823732,0.892095,32.175509,26835,84.89133529467591,4776,15.108664705324095,2012,CHUQUISACA,NOR CINTI,SAN LUCAS
010703,10948,49,346,2684,4742,3127,0.4475703324808184,3.1603945926196566,24.51589331384728,28.562294483010596,43.31384727804165,10553,96.39203507489952,395,3.6079649251004753,2001,CHUQUISACA,NOR CINTI,INCAHUASI
010703,12684,410,1116,5554,5197,407,3.232419,8.798486,43.787449,3.208767,40.972879,11158,87.96909492273731,1526,12.030905077262693,2012,CHUQUISACA,NOR CINTI,INCAHUASI
010704,15485,332,1516,8164,5144,329,2.14401,9.790119,52.721989,2.124637,33.219244,13637,88.06587019696481,1848,11.934129803035196,2012,CHUQUISACA,NOR CINTI,VILLA CHARCAS
010704,12188,39,442,2836,6037,2834,0.31998687233344275,3.626517886445684,23.268788972760092,23.252379389563504,49.53232687889727,11707,96.05349524122087,481,3.9465047587791275,2001,CHUQUISACA,NOR CINTI,VILLA CHARCAS
010801,10723,1225,2299,5571,1571,57,11.424042,21.439896,51.953744,0.531568,14.650751,7199,67.13606266902919,3524,32.86393733097081,2012,CHUQUISACA,BELISARIO BOETO,VILLA SERRANO
010801,11834,680,1241,3792,6006,115,5.746155146188947,10.486733141794828,32.04326516815954,0.9717762379584249,50.75207030589826,9913,83.76711171201623,1921,16.23288828798377,2001,CHUQUISACA,BELISARIO BOETO,VILLA SERRANO
010901,3093,188,347,1135,1412,11,6.078241189783381,11.218881344972518,36.69576462980925,0.35564177174264466,45.651471063692206,2558,82.7028774652441,535,17.2971225347559,2001,CHUQUISACA,SUD CINTI,VILLA ABECIA
010901,3320,396,413,1641,834,36,11.927711,12.439759,49.427711,1.084337,25.120482,2511,75.63253012048193,809,24.367469879518072,2012,CHUQUISACA,SUD CINTI,VILLA ABECIA
010902,17299,137,1063,5616,7438,3045,0.7919532920978091,6.144863864963292,32.464304295045956,17.602173536042546,42.996705011850395,16099,93.0631828429389,1200,6.9368171570611,2001,CHUQUISACA,SUD CINTI,CULPINA
010902,17329,652,2112,8641,5501,423,3.762479,12.187662,49.864389,2.440995,31.744475,14565,84.04985861850078,2764,15.950141381499222,2012,CHUQUISACA,SUD CINTI,CULPINA
010903,3892,335,762,2111,670,14,8.6074,19.578623,54.239466,0.359712,17.2148,2795,71.81397738951696,1097,28.186022610483043,2012,CHUQUISACA,SUD CINTI,LAS CARRERAS
010903,3475,42,347,2152,934,0,1.20863309352518,9.985611510791367,61.92805755395684,0,26.877697841726615,3086,88.80575539568345,389,11.194244604316552,2001,CHUQUISACA,SUD CINTI,LAS CARRERAS
011001,9265,742,2287,4709,1460,67,8.008635,24.684296,50.825688,0.723152,15.75823,6236,67.30706961683757,3029,32.69293038316244,2012,CHUQUISACA,LUIS CALVO,MUYUPAMPA
011001,10503,440,1435,3399,4759,470,4.189279253546606,13.6627630200895,32.36218223364753,4.474911929924783,45.31086356279158,8628,82.1479577263639,1875,17.8520422736361,2001,CHUQUISACA,LUIS CALVO,MUYUPAMPA
011002,2319,1,51,756,1447,64,0.043122035360069,2.1992238033635187,32.60025873221216,2.759810263044416,62.39758516601983,2267,97.7576541612764,52,2.242345838723594,2001,CHUQUISACA,LUIS CALVO,HUACAYA
011002,2424,90,328,1700,295,11,3.712871,13.531353,70.132013,0.453795,12.169967,2006,82.75577557755776,418,17.244224422442244,2012,CHUQUISACA,LUIS CALVO,HUACAYA
011003,7049,164,879,4015,1991,0,2.32657114484324,12.469853879982978,56.95843382040005,0,28.24514115477373,6006,85.20357497517378,1043,14.79642502482622,2001,CHUQUISACA,LUIS CALVO,MACHARETI
011003,6673,541,1541,3849,730,12,8.107298,23.093062,57.680204,0.179829,10.939607,4591,68.79964034167541,2082,31.20035965832459,2012,CHUQUISACA,LUIS CALVO,MACHARETI
020101,765237,297482,203969,201349,61430,1007,38.8744924774939,26.65435675483543,26.311979164624816,0.13159321883285832,8.027578384212996,263786,34.47115076767067,501451,65.52884923232932,2001,LA PAZ,MURILLO,LA PAZ
020101,743491,415617,221412,97275,8921,266,55.900744,29.780051,13.083548,0.035777,1.19988,106462,14.319204939938743,637029,85.68079506006126,2012,LA PAZ,MURILLO,LA PAZ
020102,16408,272,1808,9036,5161,131,1.657728,11.019015,55.070697,0.798391,31.454169,14328,87.32325694783033,2080,12.676743052169673,2012,LA PAZ,MURILLO,PALCA
020102,13892,23,157,2698,10198,816,0.16556291390728478,1.1301468471062484,19.42124964008062,5.8738842499280155,73.40915634897783,13712,98.70429023898647,180,1.2957097610135264,2001,LA PAZ,MURILLO,PALCA
020103,15890,2482,3377,6539,3395,97,15.619887,21.25236,41.151668,0.610447,21.365639,10031,63.12775330396476,5859,36.87224669603524,2012,LA PAZ,MURILLO,MECAPACA
020103,11442,358,1740,4421,4437,486,3.1288236322321272,15.207131620346093,38.63834993882189,4.247509176717357,38.778185631882536,9344,81.66404474742178,2098,18.335955252578216,2001,LA PAZ,MURILLO,MECAPACA
020104,14837,2,132,5359,9028,316,0.013479813978567096,0.8896677225854284,36.119161555570535,2.1298106086136013,60.84788029925187,14703,99.09685246343601,134,0.903147536563992,2001,LA PAZ,MURILLO,ACHOCALLA
020104,21772,1773,4501,11817,3598,83,8.143487,20.673342,54.276134,0.381224,16.525813,15498,71.18317104537938,6274,28.816828954620615,2012,LA PAZ,MURILLO,ACHOCALLA
020105,634535,47350,162684,312804,108434,3263,7.4621573278069775,25.63830206371595,49.29657150511792,0.5142348333819253,17.088734269977227,424501,66.89954060847707,210034,33.10045939152293,2001,LA PAZ,MURILLO,EL ALTO
020105,833649,223539,309720,267043,32914,433,26.814523,37.152327,32.033026,0.05194,3.948184,300390,36.033150642536604,533259,63.966849357463396,2012,LA PAZ,MURILLO,EL ALTO
020201,45231,3474,9858,22450,9154,295,7.680573,21.794787,49.634101,0.652208,20.238332,31899,70.52464018040725,13332,29.475359819592757,2012,LA PAZ,OMASUYOS,ACHACACHI
